老爸老妈的浪漫史 第四季,9.0,(20008人评价)
老爸老妈的浪漫史 第七季,9.1,(16093人评价)
犯罪心理 第七季,9.2,(14418人评价)
夜班医生 第四季,7.7,(619人评价)
老爸老妈的浪漫史 第八季,9.1,(15921人评价)
迷失 第三季,8.5,(18183人评价)
反恐特警组,6.7,(176人评价)
随性 第二季,7.8,(92人评价)
路西法 第二季,7.7,(1375人评价)
复仇  第一季,8.0,(30482人评价)
真爱如血  第一季,7.5,(19428人评价)
南方公园 第一季,9.0,(18553人评价)
欢乐合唱团 第一季,8.3,(21375人评价)
妙警贼探  第二季,8.9,(21336人评价)
女子监狱 第二季,8.7,(10071人评价)
极品老妈 第三季,8.8,(2934人评价)
铁拳 第一季,5.4,(3377人评价)
怪胎与书呆,9.2,(4230人评价)
妙警贼探 第六季,9.1,(8953人评价)
迷失  第四季,8.6,(16434人评价)
寻 第一季,8.6,(9351人评价)
单亲辣妈 第一季,7.2,(130人评价)
杀戮一代,8.7,(3494人评价)
欲望都市  第二季,8.9,(18043人评价)
假面真情 第一季,7.9,(3693人评价)
邪恶力量 第十二季,8.3,(2126人评价)
奔腾年代 第一季,8.3,(3747人评价)
X档案 第一季,8.9,(11029人评价)
福尔摩斯：基本演绎法 第二季,8.3,(12331人评价)
闪点行动 第一季,8.0,(1330人评价)
白宫风云 第一季,9.1,(4400人评价)
使女的故事 第二季,0.0,(尚未播出)
分手后 第一季,8.5,(4621人评价)
天蝎 第一季,6.9,(7687人评价)
美国谍梦 第一季,8.2,(2908人评价)
妙警贼探  第三季,8.9,(17516人评价)
拉字至上  第一季,8.6,(16526人评价)
明日传奇 第一季,5.7,(2732人评价)
真实的人类 第一季,8.4,(21743人评价)
犯罪心理 第八季,9.0,(12476人评价)
国务卿女士 第一季,7.6,(4031人评价)
沉默的天使,0.0,(尚未播出)
嘉年华 第一季,8.5,(690人评价)
办公室 第一季,8.3,(3556人评价)
超级少女 第三季,6.9,(231人评价)
绯闻女孩  第五季,7.1,(20244人评价)
罪恶黑名单 第五季,8.2,(287人评价)
监狱风云 第一季,8.6,(3735人评价)
吉尔莫女孩 第一季,8.8,(3524人评价)
太空堡垒卡拉狄加  第一季,8.8,(5490人评价)
黑色乌托邦,8.4,(611人评价)
国务卿女士 第四季,8.0,(127人评价)
血族 第三季,7.1,(5259人评价)
公园与游憩 第一季,8.2,(1988人评价)
女子监狱 第三季,8.3,(6398人评价)
都市女孩 第六季,9.1,(2325人评价)
夜班医生 第一季,7.8,(4581人评价)
咱们裸熊 第二季,9.5,(9498人评价)
性爱大师 第四季,8.6,(1032人评价)
欲望都市  第五季,8.9,(14243人评价)
初代吸血鬼 第一季,7.7,(9522人评价)
纽约屁民 第一季,8.5,(2059人评价)
危机边缘  第二季,8.8,(13133人评价)
火线  第四季,9.6,(3473人评价)
犯罪心理 第十季,8.8,(7919人评价)
妙警贼探 第四季,8.9,(13701人评价)
荒原 第二季,7.5,(1110人评价)
黑帆 第四季,8.7,(1898人评价)
犯罪心理 第十一季,8.9,(6269人评价)
伞学院 第一季,0.0,(尚未播出)
吸血鬼日记 第五季,6.8,(13488人评价)
我爱上的人是奇葩 第五季,0.0,(尚未播出)
夜魔侠 第三季,0.0,(尚未播出)
僵尸国度 第三季,7.2,(1647人评价)
血族 第二季,7.1,(8150人评价)
绝望主妇 第四季,8.8,(20032人评价)
妮基塔 第四季,8.2,(8402人评价)
